entry_ts,exit_ts,side,qty,entry,exit,pnl,gross,reason,bars_held,regime
2026-02-26 14:05:00+05:30,2026-02-26 14:16:00+05:30,BUY,2,60905.25,60977.55,2129.0000000000873,2169.0000000000873,TIME,11,RANGE
2026-03-04 12:16:00+05:30,2026-03-04 12:28:00+05:30,BUY,2,58494.0,58525.0,890.0,930.0,TARGET,12,RANGE
2026-03-12 11:59:00+05:30,2026-03-12 12:09:00+05:30,SELL,2,55174.0,55144.2,854.0000000000873,894.0000000000873,TIME,10,RANGE
2026-03-16 14:13:00+05:30,2026-03-16 14:35:00+05:30,SELL,2,53776.200000000004,54263.25,-14651.499999999869,-14611.499999999869,TIME,22,RANGE
2026-03-17 14:05:00+05:30,2026-03-17 14:16:00+05:30,SELL,2,54695.5,54783.35,-2675.4999999999563,-2635.4999999999563,TIME,11,RANGE
2026-03-20 11:23:00+05:30,2026-03-20 11:29:00+05:30,SELL,2,54201.55,54113.75,2594.0000000000873,2634.0000000000873,TARGET,6,CHOP
2026-03-20 13:43:00+05:30,2026-03-20 13:50:00+05:30,BUY,2,53810.549999999996,53713.25,-2958.999999999869,-2918.999999999869,TIME,7,RANGE
2026-03-23 12:26:00+05:30,2026-03-23 12:42:00+05:30,BUY,2,51613.45,51761.35,4397.000000000044,4437.000000000044,TARGET,16,RANGE
2026-03-27 14:08:00+05:30,2026-03-27 14:23:00+05:30,BUY,2,52465.85,52428.85,-1150.0,-1110.0,TIME,15,CHOP
2026-04-06 14:14:00+05:30,2026-04-06 14:35:00+05:30,SELL,2,52385.200000000004,52453.4,-2085.9999999999127,-2045.9999999999127,TIME,21,RANGE
2026-04-07 13:08:00+05:30,2026-04-07 13:17:00+05:30,BUY,2,52096.65,52211.9,3417.5,3457.5,TARGET,9,CHOP
2026-04-08 10:32:00+05:30,2026-04-08 10:42:00+05:30,SELL,2,55319.1,55315.85,57.5,97.5,TIME,10,TREND
2026-04-08 13:38:00+05:30,2026-04-08 13:56:00+05:30,SELL,2,55509.35,55428.049999999996,2399.0000000000873,2439.0000000000873,TARGET,18,RANGE
2026-04-17 13:13:00+05:30,2026-04-17 13:20:00+05:30,SELL,2,56385.4,56347.799999999996,1088.0000000001746,1128.0000000001746,TARGET,7,RANGE
2026-04-20 11:12:00+05:30,2026-04-20 11:22:00+05:30,BUY,2,56934.1,56985.200000000004,1493.0000000001746,1533.0000000001746,TARGET,10,CHOP
2026-04-20 14:27:00+05:30,2026-04-20 14:40:00+05:30,SELL,2,56724.5,56668.75,1632.5,1672.5,TARGET,13,RANGE
2026-04-23 11:44:00+05:30,2026-04-23 11:54:00+05:30,BUY,2,56530.35,56583.75,1562.0000000000437,1602.0000000000437,TIME,10,RANGE
